Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv0974c.accD2	1032	51	1241	1333	1688	2021	174	181	411	462	304	287	425	545	767	858	739	330	350	414	356	1441	535	408	2483	1775	920
Rv0982.mprB	4058	216	2590	3375	4201	3248	2338	4372	2873	2673	5069	4804	5672	2850	2165	1391	1651	5492	5085	4284	3429	2727	2136	1524	3297	1618	1330
Rv1005c.pabB		2	1	2	3	2	4	2		1		1	2								2						10
Rv1007c.metS	91	13	12	21	49	3	5							63	269		34	28	22	37	31					22	52
Rv1015c.rplY	280	7	822	691	347	807	164	167	528	471	174	406	227	1707	2436	2116	778	1642	1706	1146	1262	1196	18	385	1288	580	1144
Rv1018c.glmU	4794	190	6049	8433	8002	7856	1862	1456	4611	6901	3640	2892	4301	5411	6772	5061	4710	6714	6032	6787	4742	12074	3037	8077	6856	7848	5336
Rv1044.Rv1044	1541	19	3411	3023	3361	3827	273	245	596	811	534	1410	786	1323	2517	1400	780	3673	3349	3568	3168	721	299	2191	3079	996	2153
Rv1076.lipU	9306	223	11276	14076	14457	13076	4280	2471	7983	7114	4827	3619	4104	9293	9384	9460	6746	11379	10092	10363	11273	17233	8253	9972	19035	13552	10313
Rv1078.pra	9390	1790	11662	11711	8882	10056	8188	3895	9188	9654	4330	3989	3896	13081	14780	14406	13967	6787	6113	6061	7394	19771	5071	11463	21921	11532	17483
Rv1094.desA2	3238	297	4822	5732	4418	3751	6318	5477	5405	5123	2681	2215	2350	2474	2742	1533	1787	6247	6855	5763	7212	11441	640	2341	3551	3064	3425
Rv1111c.Rv1111c	680	8	213	472	664	421	356	1017	105	405	296	219	368	251	328	113	109	427	385	367	220	224		169	230	205	377
Rv1122.gnd2	786	20	37	34	217	56	20	51	66	33	20	64	7	39	110	158	43	89	23	54	66	39		20	54	47	104
Rv1133c.metE	10	11	6	10	6	9	33	30	5	10	6	6	4	2	5	3		3	2		8	12			3	13	36
Rv1187.rocA	2	1	2	1	2	4	1	10	2		3	1	4	13			2	2	5	2	6	4	2		2	3	8
Rv1202.dapE	12844	1157	988	1164	1239	1291	5450	12755	5441	11954	9338	5713	16217	15707	20448	16435	14486	27473	22942	18795	21074	25582	35181	77	112	202	1757
Rv1208.gpgS	275	62	2335	2530	1778	2874	433	714	466	420	1631	2321	1812	2488	1907	1168	1293	8263	6595	6677	5843	980	440	529	1245	736	1053
Rv1240.P38-mdh	7		7	8	5	18	3	2	11	10	5	16	13	21	40	17	25	30	32	23	45	22	14	3		2	9
Rv1254.Rv1254	5826	351	9570	11114	10436	12061	2845	3549	8594	10046	5349	5496	4563	7473	8777	7599	5457	8564	9648	8204	11107	14732	5042	7343	12242	8684	8265
Rv1296.thrB	529	3	1885	1758	2587	1593	690	89	301	823	933	719	400	423	491	240	267	628	706	1058	825	736	5587	1944	233	1018	930
Rv1299.prfA	12		19	25	45	31	57	79	32	32	416	781	471	165	48	34	34	620	567	935	706	206	33	1	8	2	21
Rv1300.hemK	37653	6664	32924	38707	36936	28258	18497	32745	27554	26134	5220	4037	15579	10194	14146	8769	10339	13307	12022	8589	10395	23053	21299	8205	17037	16484	9298
Rv1301.Rv1301			10		2										4			4	31	6	55				5		
Rv1304.atpB	248419	597596	112901	120915	145096	95140	488753	1120234	339696	297107	123874	76545	235638	84992	67667	102122	99741	48612	45401	30185	51674	157452	70502	42594	53003	66886	37303
Rv1306.atpF	30	8	32	55	24	46	77	102	197	218	920	1979	1646	1440	1095	778	473	5744	5713	6829	5868	329	299	2	10	3	31
Rv1307.atpH	4667	120	6457	6415	6317	7382	1088	1322	3583	3875	4342	3798	3778	4300	7238	1977	3569	8927	7117	7969	8097	7143	5305	4010	10891	4018	3937
Rv1308.atpA	6979	316	13608	19485	15104	17767	3316	2589	8887	10950	7005	6424	8456	9235	9589	7703	6663	13795	13466	13107	20535	25744	13081	11947	27061	17687	13881
Rv1309.atpG	5007	661	7925	8633	5011	9576	1799	3240	5103	7620	3646	3215	4679	6319	6485	4237	5765	9072	11740	6666	10437	11340	6657	5337	9679	5601	7017
Rv1315.murA	234	1	36	39	35	31	25	17	52	83	512	1370	1136	1061	464	674	369	7204	5398	5734	6492	225	267		2		16
Rv1326c.glgB	481	54	273	329	173	340	151	155	276	204	1580	1823	1699	3992	4906	2186	2654	6119	6337	4485	4150	91	325	98	212	111	701
Rv1339.Rv1339	142	2	3	15	9	12		1	1	2		6	3	9	113	17	17	15	31	15	15						4
Rv1342c.Rv1342c	2442	32	2418	4216	5536	3500	880	1120	3094	2429	2695	1216	2110	1547	1039	1001	1434	2734	2477	3341	2289	5748	3794	1140	2538	2471	2240
Rv1343c.lprD	10197	329	8707	11351	13409	11213	3080	3495	5924	8202	6006	5073	3973	5039	5985	4799	3590	8955	8521	8165	7035	14452	14255	3927	11208	7448	6910
Rv1348.Rv1348	5770	244	1789	2460	1370	2048	2211	2307	8220	8425	4006	4304	3951	7654	9782	6127	6749	11067	10163	8232	11183	9110	2719	2608	4073	4172	6769
Rv1384.carB			1			2	18	3	1	2		3	1								3	1			2		1
Rv1406.fmt	1023	24	904	820	1014	1234	131	135	400	238	1071	1290	944	1215	1772	1727	1123	3422	3528	3523	2871	623	170	416	486	417	1119
Rv1420.uvrC	1091	23	1695	2057	1258	2137	42	29	210	176	230	223	295	1883	3601	3182	2064	1433	1713	1862	2034	939	478	703	1955	1467	2065
Rv1437.pgk	7525	5271	2900	3581	4558	2933	87	296	173	311	491	382	1555	1492	2780	1572	1615	6761	4936	3190	4114	1523	4181	27	46	44	577
Rv1438.Ptb21-tpi						6									1			1	1		1						
Rv1449c.tkt	43	4	28	38	27	25	29	23	71	24	370	1128	616	524	273	232	146	2280	2225	2058	1801	220	19	1		1	47
Rv1456c.Rv1456c	2	4	4	6	1	2	22	14	2	1	7	10	5	26	3	2	2	3	9	5	5	5	2	1	6	8	6
Rv1457c.Rv1457c	1544	664	2525	2383	10866	4663	2067	3875	2499	1114	1841	2275	1424	172	293	630	267	118	52	143	83	2361	8780	287	454	1024	298
Rv1459c.Rv1459c	27009	1975	22874	22416	30648	20492	8536	16249	12168	12602	3691	2467	9838	8411	11614	8292	7668	10892	11098	6678	7433	18153	11647	4222	6424	8680	8401
